"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
4.501840989E1,1.108033180E0,-1.588402390E0,-2.414521217E0
4.504698132E1,8.252025843E-1,-1.471116185E0,-6.900486350E-1
4.507555275E1,9.485973716E-1,-1.881006837E0,-7.193701863E-1
4.510412418E1,1.296179652E0,-1.429577351E0,-7.627416253E-1
4.513269560E1,1.657201052E0,-2.142457247E0,-9.838748574E-1
4.516126703E1,1.527086735E0,-2.449111462E0,-9.172905087E-1
4.518983846E1,1.246699572E0,-2.344042778E0,-1.046183109E0
4.521840989E1,1.022512078E0,-2.213928461E0,-9.044623375E-1
4.524698132E1,7.861071825E-1,-2.157117844E0,-8.836929202E-1
4.527555274E1,4.776202738E-1,-2.282345295E0,-7.841218710E-1
4.530412417E1,-2.169335186E-1,-2.178498268E0,-4.683045745E-1
4.533269560E1,-1.138118267E0,-2.163226604E0,5.463426113E-1
4.536126703E1,-2.388559580E0,-1.813200712E0,1.399110436E0
4.538983846E1,-2.904740572E0,-1.393536329E0,2.254932642E0
4.541840988E1,-2.242562771E0,-1.184620380E0,2.943377733E0
4.544698131E1,-1.244408846E0,-1.674534321E0,2.919553995E0
4.547555274E1,-9.957867265E-1,-1.437060535E-1,2.812652588E0
4.550412417E1,-1.077031732E0,-6.604980230E-1,2.423531532E0
4.553269560E1,-1.879708767E0,2.008219510E-1,2.188959360E0
4.556126702E1,-1.710499048E0,1.111011147E0,1.668502092E0
4.558983845E1,-1.415451169E0,1.462258697E0,1.163927317E0
4.561840988E1,-8.381834626E-1,1.651626945E0,6.300311685E-1
4.564698131E1,-1.046106778E-2,1.809230089E0,-4.078288972E-1
4.567555274E1,1.114141822E0,4.408919811E-1,-1.159193158E0
4.570412416E1,2.759812832E0,-2.039831877E0,-1.545870900E0
4.573269559E1,2.786080122E0,-1.491274834E0,-2.111531973E0
4.576126702E1,2.279672623E0,-2.800359011E0,-1.236773014E0
4.578983845E1,9.504299760E-1,-1.869400382E0,-3.092505224E-2
4.581840988E1,-4.044691622E-1,-3.202461004E-1,6.727917194E-1
4.584698130E1,-1.521818042E-1,-6.659958363E-1,1.090623498E0
4.587555273E1,1.090928912E0,-1.983021259E0,-1.942322373E0
4.590412416E1,8.905651569E-1,-1.725847006E0,-1.405371904E0
4.593269559E1,9.644798636E-1,-1.793653131E0,-7.731263041E-1
