"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.099155555E0,1.030453324E0,-1.895209402E-1,-5.293911099E-1
2.109155521E0,1.083598614E0,-1.595885456E-1,-5.813146234E-1
2.119155521E0,1.114141822E0,-9.361509979E-2,-6.289620996E-1
2.129155521E0,1.106200576E0,3.894266114E-2,-6.656140685E-1
2.139155521E0,1.042670608E0,2.069306076E-1,-6.937138438E-1
2.149155521E0,9.119454622E-1,3.437644243E-1,-6.931029558E-1
2.159155521E0,7.567856908E-1,4.262312353E-1,-6.533967257E-1
2.169155521E0,6.327800155E-1,4.506658316E-1,-5.776494741E-1
2.179155521E0,5.753586888E-1,3.859141171E-1,-4.640285075E-1
2.189155521E0,5.881868601E-1,2.722931802E-1,-3.827834427E-1
2.199155521E0,5.912411809E-1,2.203696370E-1,-3.601814210E-1
2.209155521E0,5.466480255E-1,2.374738604E-1,-3.528510332E-1
2.219155521E0,4.880049825E-1,2.331978083E-1,-3.223077655E-1
2.229155521E0,4.391357601E-1,1.415680200E-1,-2.728276849E-1
2.239155521E0,4.366922975E-1,-4.428773187E-3,-2.490039468E-1
2.249155521E0,4.684572816E-1,-1.699732542E-1,-2.960405648E-1
2.259155521E0,5.173265338E-1,-3.636175394E-1,-4.261548519E-1
2.269155521E0,5.399284959E-1,-5.303837657E-1,-4.982369542E-1
2.279155521E0,5.558109879E-1,-4.546364546E-1,-4.469242990E-1
2.289155521E0,6.419430375E-1,-9.422596544E-2,-4.188244939E-1
2.299155521E0,7.335727811E-1,4.482223690E-1,-4.340961277E-1
2.309155554E0,6.718754172E-1,1.042594314E0,-4.206570685E-1
2.319155554E0,4.556291103E-1,1.376126647E0,-4.389830232E-1
2.329155554E0,2.222785950E-1,1.322981358E0,-5.049564838E-1
2.339155554E0,7.811439037E-2,9.937250614E-1,-5.874232650E-1
2.349155554E0,6.406449527E-2,5.545129180E-1,-6.033058167E-1
2.359155520E0,1.624137908E-1,6.887505949E-2,-4.902957082E-1
2.369155520E0,3.010801971E-1,-4.497495294E-1,-2.697733641E-1
2.379155520E0,3.731622994E-1,-8.755226135E-1,-1.530981064E-1
2.389155520E0,2.796999216E-1,-1.072221279E0,-2.954297066E-1
2.399155520E0,1.214094646E-2,-1.089325428E0,-5.361106396E-1
2.409155520E0,-3.507130146E-1,-9.763153791E-1,-8.189412355E-1
2.419155520E0,-6.860780120E-1,-5.920811296E-1,-1.059011221E0
2.429155320E0,-8.149706125E-1,3.003929853E-1,-1.121319532E0
2.439155320E0,-6.121633053E-1,1.594816446E0,-9.197340012E-1
2.449155320E0,-1.320232451E-1,2.786614418E0,-6.295729876E-1
2.459155320E0,4.965570867E-1,3.509268045E0,-4.279874563E-1
2.469155320E0,1.147739410E0,3.460398912E0,-3.577379584E-1
2.479155320E0,1.610164404E0,2.522109985E0,-2.990948856E-1
2.489155320E0,1.679803014E0,9.216429591E-1,-1.970804036E-1
2.499155320E0,1.329777241E0,-6.238461137E-1,-7.124216110E-2
2.509155320E0,8.172613382E-1,-1.687362552E0,3.993531689E-2
2.519155320E0,4.458552599E-1,-2.337323189E0,1.492801905E-1
2.529155320E0,3.646101952E-1,-2.769204855E0,2.067015320E-1
2.539155320E0,4.861723781E-1,-2.956740618E0,1.688278764E-1
2.549155320E0,6.602689624E-1,-2.822350264E0,1.248455867E-1
2.559155353E0,7.708355784E-1,-2.428342104E0,1.217912585E-1
2.569155353E0,7.879397869E-1,-1.921934724E0,1.175151989E-1
2.579155353E0,7.409031987E-1,-1.428355694E0,7.780896127E-2
2.589155353E0,6.633232832E-1,-1.023962855E0,1.366810966E-2
2.599155353E0,5.765804052E-1,-7.710646391E-1,-4.802928120E-2
2.609155319E0,4.904484451E-1,-6.299547553E-1,-9.323330969E-2
2.619155319E0,4.147011340E-1,-5.658139586E-1,-1.225548387E-1
2.629155319E0,3.499494195E-1,-5.432119370E-1,-1.402699351E-1
2.639155319E0,3.090214431E-1,-5.597052574E-1,-1.555415690E-1
2.649155319E0,2.821433842E-1,-6.036875844E-1,-1.634828150E-1
2.659155319E0,2.546544373E-1,-6.647741199E-1,-1.860848218E-1
2.669155319E0,2.283872366E-1,-7.118107080E-1,-2.129628956E-1
2.679155319E0,2.082286924E-1,-7.386888266E-1,-2.398409694E-1
2.689155319E0,1.966222525E-1,-7.490735054E-1,-2.593886554E-1
2.699155319E0,1.856266707E-1,-7.276932001E-1,-2.654972970E-1
2.709155319E0,1.831832081E-1,-6.916521788E-1,-2.667190433E-1
2.719155319E0,1.880701333E-1,-6.501133442E-1,-2.703842223E-1
2.729155519E0,1.880701333E-1,-6.140722632E-1,-2.887101769E-1
2.739155519E0,1.697441787E-1,-5.780312419E-1,-3.198643029E-1
2.749155519E0,1.275944710E-1,-5.267185569E-1,-3.528510332E-1
2.759155519E0,7.933612168E-2,-4.576907754E-1,-3.742313087E-1
2.769155519E0,5.429064855E-2,-3.862195611E-1,-3.797291219E-1
2.779155519E0,7.139487565E-2,-3.239113092E-1,-3.632357419E-1
2.789155519E0,1.165989041E-1,-2.732094824E-1,-3.253620863E-1
2.799155519E0,1.465312988E-1,-2.377792895E-1,-2.752711475E-1
2.809155552E0,1.355357319E-1,-2.096794993E-1,-2.264019251E-1
2.819155552E0,9.338602424E-2,-1.882992089E-1,-1.873065531E-1
2.829155552E0,5.306891724E-2,-1.809688359E-1,-1.592067480E-1
2.839155552E0,4.207334295E-2,-1.864666194E-1,-1.378264725E-1
2.849155552E0,7.567093521E-2,-2.127338201E-1,-1.023962870E-1
2.859155518E0,1.666898578E-1,-2.793181241E-1,-5.108360574E-2
2.869155518E0,2.986367345E-1,-3.843869567E-1,4.482223839E-2
2.879155518E0,4.055381715E-1,-5.065600276E-1,1.902081668E-1
2.889155518E0,4.256967306E-1,-6.849326491E-1,3.490331173E-1
2.899155518E0,3.548363447E-1,-1.014189005E0,5.139667392E-1
2.909155518E0,2.540435791E-1,-1.656819224E0,7.137196660E-1
2.919155518E0,8.788824081E-2,-2.689181566E0,9.495136738E-1
2.929155518E0,-2.438115925E-1,-3.895640373E0,1.207909703E0
2.939155518E0,-7.105126381E-1,-4.869970322E0,1.422934175E0
2.949155518E0,-1.121624947E0,-5.340947628E0,1.531057358E0
2.959155518E0,-1.356197238E0,-5.169905186E0,1.541442037E0
2.969155518E0,-1.466152906E0,-4.161977768E0,1.545107245E0
2.979155518E0,-1.643914700E0,-2.509587049E0,1.579926610E0
2.989155518E0,-2.016542435E0,-7.906123400E-1,1.597641706E0
2.999155551E0,-2.351907492E0,5.282457471E-1,1.528003097E0
